ticket_id,created_at,category,channel,priority,first_response_minutes,resolution_hours,sla_met,escalated,reopened,csat
TKT-1001,2026-07-19 08:00,Account,Email,Normal,19.8,14.9,1,0,1,
TKT-1002,2026-07-13 04:00,Authentication,Email,Normal,46.7,11.5,1,0,0,4
TKT-1003,2026-07-05 06:00,Bug,Email,High,53.6,11.6,0,1,0,
TKT-1004,2026-07-13 20:00,API / Integration,Email,Normal,22.8,1.9,1,0,1,
TKT-1005,2026-07-11 06:00,Bug,Chat,High,45.0,22.9,0,1,1,4
TKT-1006,2026-07-04 09:00,Bug,Email,Normal,63.2,6.1,0,1,0,5
TKT-1007,2026-07-03 17:00,Account,Email,High,15.6,8.0,1,0,0,5
TKT-1008,2026-07-29 07:00,Billing,Email,Normal,23.0,4.8,1,0,0,
TKT-1009,2026-07-16 18:00,API / Integration,Web,Normal,14.1,4.2,1,0,0,4
TKT-1010,2026-07-04 01:00,Billing,Web,Normal,10.5,1.6,1,0,0,5
TKT-1011,2026-07-28 16:00,API / Integration,Chat,Normal,21.9,14.2,1,0,0,5
TKT-1012,2026-07-28 00:00,API / Integration,Email,Normal,4.2,18.3,1,0,1,5
TKT-1013,2026-07-15 03:00,Billing,Chat,Normal,14.9,15.4,1,0,1,5
TKT-1014,2026-07-22 01:00,API / Integration,Email,Normal,74.0,20.3,0,1,1,5
TKT-1015,2026-07-24 08:00,Bug,Web,Normal,12.9,21.5,1,0,0,5
TKT-1016,2026-07-11 21:00,Bug,Chat,High,32.3,21.9,0,1,0,
TKT-1017,2026-07-15 10:00,Billing,Email,Normal,20.3,5.0,1,0,0,4
TKT-1018,2026-07-18 16:00,Authentication,Email,High,19.2,3.3,1,0,0,4
TKT-1019,2026-07-18 12:00,Billing,Email,Normal,34.1,9.7,1,0,1,5
TKT-1020,2026-07-04 13:00,Account,Web,Normal,17.6,11.1,1,0,0,4
TKT-1021,2026-07-08 10:00,API / Integration,Web,Normal,7.6,25.0,1,0,0,
TKT-1022,2026-07-13 12:00,API / Integration,Chat,High,68.1,4.8,0,1,0,5
TKT-1023,2026-07-24 11:00,API / Integration,Web,Urgent,28.2,18.2,0,1,0,5
TKT-1024,2026-07-04 06:00,Authentication,Email,Low,53.0,18.4,1,0,0,5
TKT-1025,2026-07-26 05:00,Account,Chat,Normal,12.5,17.9,1,0,0,5
TKT-1026,2026-07-04 10:00,Account,Email,Normal,51.6,6.8,1,0,0,5
TKT-1027,2026-07-11 18:00,Authentication,Chat,Normal,11.1,11.1,1,0,1,4
TKT-1028,2026-07-29 15:00,API / Integration,Email,High,54.0,15.6,0,0,0,5
TKT-1029,2026-07-30 15:00,Authentication,Web,Normal,67.2,15.0,0,0,0,4
TKT-1030,2026-07-06 21:00,Account,Email,Normal,68.3,17.0,0,0,1,4
TKT-1031,2026-07-24 14:00,Account,Email,High,43.2,9.0,0,1,0,5
TKT-1032,2026-07-03 00:00,Authentication,Email,Normal,34.5,1.5,1,0,0,
TKT-1033,2026-07-11 10:00,Data Import,Email,Normal,11.3,15.8,1,0,0,5
TKT-1034,2026-07-11 22:00,Bug,Web,High,66.6,1.9,0,0,0,
TKT-1035,2026-07-11 01:00,Billing,Chat,Normal,65.9,17.3,0,0,0,4
TKT-1036,2026-07-24 05:00,Billing,Chat,Normal,23.8,2.0,1,0,0,5
TKT-1037,2026-07-14 17:00,Billing,Email,High,22.5,11.9,1,0,0,5
TKT-1038,2026-07-30 15:00,API / Integration,Web,Normal,67.9,5.5,0,1,0,5
TKT-1039,2026-07-14 03:00,Account,Chat,High,29.9,2.1,1,0,0,4
TKT-1040,2026-07-08 18:00,API / Integration,Chat,Normal,53.5,14.3,1,1,0,4
TKT-1041,2026-07-20 04:00,Account,Email,Normal,4.0,6.2,1,0,0,5
TKT-1042,2026-07-05 07:00,Account,Chat,High,72.1,14.9,0,0,0,5
TKT-1043,2026-07-04 10:00,Bug,Chat,High,19.9,7.3,1,1,0,4
TKT-1044,2026-07-05 21:00,API / Integration,Web,Normal,55.0,10.1,1,0,0,5
TKT-1045,2026-07-23 23:00,Bug,Email,High,53.4,15.5,0,0,0,3
TKT-1046,2026-07-08 02:00,Data Import,Chat,Urgent,43.7,12.5,0,0,0,5
TKT-1047,2026-07-13 12:00,Bug,Chat,Normal,21.6,20.8,1,0,1,4
TKT-1048,2026-07-15 10:00,Billing,Email,High,9.7,3.6,1,0,0,4
TKT-1049,2026-07-17 13:00,API / Integration,Email,Normal,33.8,22.7,1,0,0,
TKT-1050,2026-07-22 03:00,API / Integration,Web,Normal,31.7,22.4,1,0,0,5
TKT-1051,2026-07-27 21:00,Billing,Email,Low,39.0,13.8,1,0,0,4
TKT-1052,2026-07-20 17:00,API / Integration,Web,Normal,51.1,2.9,1,0,0,4
TKT-1053,2026-07-16 06:00,Billing,Chat,Normal,57.4,16.8,1,0,0,1
TKT-1054,2026-07-11 12:00,Billing,Email,Urgent,4.5,1.3,1,0,0,
TKT-1055,2026-07-06 05:00,Authentication,Chat,Normal,19.5,14.2,1,0,0,5
TKT-1056,2026-07-26 14:00,Bug,Email,Normal,45.1,29.8,1,0,0,5
TKT-1057,2026-07-16 03:00,Account,Chat,Normal,58.8,17.1,1,0,0,5
TKT-1058,2026-07-20 22:00,API / Integration,Chat,Low,70.0,1.2,1,0,0,4
TKT-1059,2026-07-26 14:00,Account,Email,High,72.5,5.9,0,0,0,4
TKT-1060,2026-07-02 13:00,Billing,Web,High,10.2,17.7,1,0,0,5
